Field_ID,crp,sowing,harvst,Rex,yld,autorg,variety,comment
L2F3R1,WW ,01101979,04081980,080,050,0,,initial
L2F3R1,WRA,20081980,20071981,000,000,0,,
L2F3R1,CCM,20041982,06091982,000,000,0,,
L2F3R1,ZR ,10041983,15101983,000,000,0,,
L2F3R1,K  ,30041984,10081984,000,000,0,,
L2F3R1,WW ,01101984,04081985,000,000,0,,
L2F3R1,WRA,20081985,20071986,000,000,0,,
L2F3R1,CCM,20041987,05091987,000,000,0,,
L2F3R1,ZR ,10041988,15101988,000,000,0,,
L2F3R1,K  ,01051989,10081989,000,000,0,,
L2F3R1,WW ,01101989,04081990,000,000,0,,
L2F3R1,WRA,20081990,20071991,000,000,0,,
L2F3R1,CCM,20041992,05091992,000,000,0,,
L2F3R1,ZR ,10041993,15101993,000,000,0,,
L2F3R1,K  ,01051994,10081994,000,000,0,,
L2F3R1,WW ,01101994,04081995,000,000,0,,
L2F3R1,WRA,20081995,20071996,000,000,0,,
L2F3R1,CCM,20041997,05091997,000,000,0,,
L2F3R1,ZR ,10041998,15101998,000,000,0,,
L2F3R1,K  ,01051999,10081999,000,000,0,,
L2F3R1,WW ,01101999,04082000,000,000,0,,
L2F3R1,WRA,20082000,20072001,000,000,0,,
L2F3R1,CCM,20042002,05092002,000,000,0,,
L2F3R1,ZR ,10042003,15102003,000,000,0,,
L2F3R1,K  ,01052004,10082004,000,000,0,,
L2F3R1,WW ,01102004,04082005,000,000,0,,
L2F3R1,WRA,20082005,20072006,000,000,0,,
L2F3R1,CCM,20042007,05092007,000,000,0,,
L2F3R1,ZR ,10042008,15102008,000,000,0,,
L2F3R1,K  ,01052009,10082009,000,000,0,,
L2F3R1,WW ,01102009,04082010,000,000,0,,
L2Z1R1,WG ,15091979,25071980,080,050,0,,initial
L2Z1R1,WRA,20081980,20071981,000,000,0,,
L2Z1R1,WW ,01101981,04081982,000,000,0,,
L2Z1R1,WR ,20091982,29071983,000,000,0,,
L2Z1R1,PH ,30071983,15041984,000,000,0,,
L2Z1R1,SM ,19041984,05091984,000,000,0,,
L2Z1R1,WG ,15091984,25071985,000,000,0,,
L2Z1R1,WRA,20081985,20071986,000,000,0,,
L2Z1R1,WW ,01101986,04081987,000,000,0,,
L2Z1R1,WR ,20091987,29071988,000,000,0,,
L2Z1R1,PH ,30071988,15041989,000,000,0,,
L2Z1R1,SM ,20041989,05091989,000,000,0,,
L2Z1R1,WG ,15091989,25071990,000,000,0,,
L2Z1R1,WRA,20081990,20071991,000,000,0,,
L2Z1R1,WW ,01101991,04081992,000,000,0,,
L2Z1R1,WR ,20091992,29071993,000,000,0,,
L2Z1R1,PH ,30071993,15041994,000,000,0,,
L2Z1R1,SM ,20041994,05091994,000,000,0,,
L2Z1R1,WG ,15091994,25071995,000,000,0,,
L2Z1R1,WRA,20081995,20071996,000,000,0,,
L2Z1R1,WW ,01101996,04081997,000,000,0,,
L2Z1R1,WR ,20091997,29071998,000,000,0,,
L2Z1R1,PH ,30071998,15041999,000,000,0,,
L2Z1R1,SM ,20041999,05091999,000,000,0,,
L2Z1R1,WG ,15091999,25072000,000,000,0,,
L2Z1R1,WRA,20082000,20072001,000,000,0,,
L2Z1R1,WW ,01102001,04082002,000,000,0,,
L2Z1R1,WR ,20092002,29072003,000,000,0,,
L2Z1R1,PH ,30072003,15042004,000,000,0,,
L2Z1R1,SM ,20042004,05092004,000,000,0,,
L2Z1R1,WG ,15092004,25072005,000,000,0,,
L2Z1R1,WRA,20082005,20072006,000,000,0,,
L2Z1R1,WW ,01102006,04082007,000,000,0,,
L2Z1R1,WR ,20092007,29072008,000,000,0,,
L2Z1R1,PH ,30072008,15042009,000,000,0,,
L2Z1R1,SM ,20042009,05092009,000,000,0,,
L2Z1R1,WG ,15092009,25072010,000,000,0,,
L2F3R1n,WW ,01101979,04081980,080,050,0,,initial
L2F3R1n,WRA,20081980,20071981,000,000,0,,
L2F3R1n,SM ,20041982,06091982,000,000,0,,
L2F3R1n,ZR ,10041983,15101983,000,000,0,chrnew,
L2F3R1n,K  ,30041984,10081984,000,000,0,,
L2F3R1n,WW ,01101984,04081985,000,000,0,,
L2F3R1n,WRA,20081985,20071986,000,000,0,,
L2F3R1n,SM ,20041987,05091987,000,000,0,,
L2F3R1n,ZR ,10041988,15101988,000,000,0,chrnew,
L2F3R1n,K  ,01051989,10081989,000,000,0,,
L2F3R1n,WW ,01101989,04081990,000,000,0,,
L2F3R1n,WRA,20081990,20071991,000,000,0,,
L2F3R1n,SM ,20041992,05091992,000,000,0,,
L2F3R1n,ZR ,10041993,15101993,000,000,0,chrnew,
L2F3R1n,K  ,01051994,10081994,000,000,0,,
L2F3R1n,WW ,01101994,04081995,000,000,0,,
L2F3R1n,WRA,20081995,20071996,000,000,0,,
L2F3R1n,SM ,20041997,05091997,000,000,0,,
L2F3R1n,ZR ,10041998,15101998,000,000,0,chrnew,
L2F3R1n,K  ,01051999,10081999,000,000,0,,
L2F3R1n,WW ,01101999,04082000,000,000,0,,
L2F3R1n,WRA,20082000,20072001,000,000,0,,
L2F3R1n,SM ,20042002,05092002,000,000,0,,
L2F3R1n,ZR ,10042003,15102003,000,000,0,chrnew,
L2F3R1n,K  ,01052004,10082004,000,000,0,,
L2F3R1n,WW ,01102004,04082005,000,000,0,,
L2F3R1n,WRA,20082005,20072006,000,000,0,,
L2F3R1n,SM ,20042007,05092007,000,000,0,,
L2F3R1n,ZR ,10042008,15102008,000,000,0,chrnew,
L2F3R1n,K  ,01052009,10082009,000,000,0,,
L2F3R1n,WW ,01102009,04082010,000,000,0,,
